Boundary Table
No,Aptitud,Factible
1,-0.3632257290188054,1
2,-0.2628406691899548,1
3,-0.3196858051008613,1
4,-0.35587338284599473,1
5,-0.2661880339099774,1
6,-0.3984788660337491,1
7,-0.9271051993381547,1
8,-0.37991067252435146,1
9,-0.26756458899189484,1
10,-0.3311437967459907,1
11,-0.28454230310536316,1
12,-0.2900754219449341,1
13,-0.26304671714240657,1
14,-0.3693306253850731,1
15,-0.2806727379902999,1
16,-0.351917679368751,1
17,-0.31147343037225406,1
18,-0.2349642022066081,1
19,-0.3166542804271978,1
20,-0.2826216259357258,1
21,-0.2862904488953395,1
22,-0.5370485159929226,1
23,-0.2931453957010377,1
24,-0.2670765602320677,1
25,-0.4350262717695752,1
